2026-04-12 12:48:22 | INFO     | src.recommendation.engine | Đã huấn luyện lại mô hình KNN với 2 bài hát.
2026-04-12 12:48:24 | WARNING  | src.services.recommend_service | Bài hát 3 chưa được trích xuất đặc trưng.
2026-04-12 12:48:27 | INFO     | src.recommendation.knn_model | KNN đã được huấn luyện với 2 bài hát (n_neighbors=2)
2026-04-12 12:48:27 | INFO     | src.recommendation.knn_model | Đã lưu mô hình KNN vào 'data/knn_model.pkl'
2026-04-12 12:48:27 | INFO     | src.recommendation.engine | Đã huấn luyện lại mô hình KNN với 2 bài hát.
2026-04-12 12:48:27 | WARNING  | src.services.recommend_service | Bài hát 1 chưa được trích xuất đặc trưng.
2026-04-12 12:48:30 | INFO     | src.recommendation.knn_model | KNN đã được huấn luyện với 2 bài hát (n_neighbors=2)
2026-04-12 12:48:30 | INFO     | src.recommendation.knn_model | Đã lưu mô hình KNN vào 'data/knn_model.pkl'
2026-04-12 12:48:30 | INFO     | src.recommendation.engine | Đã huấn luyện lại mô hình KNN với 2 bài hát.
2026-04-12 12:48:32 | INFO     | src.recommendation.knn_model | KNN đã được huấn luyện với 2 bài hát (n_neighbors=2)
2026-04-12 12:48:32 | INFO     | src.recommendation.knn_model | Đã lưu mô hình KNN vào 'data/knn_model.pkl'
2026-04-12 12:48:32 | INFO     | src.recommendation.engine | Đã huấn luyện lại mô hình KNN với 2 bài hát.
2026-04-12 13:54:22 | INFO     | src.recommendation.knn_model | Đã tải mô hình KNN từ 'data/knn_model.pkl' (2 bài hát)
2026-04-12 13:54:22 | INFO     | src.recommendation.engine | get_similar_songs: target=6 top_k=5 results=[7]
2026-04-12 13:54:30 | INFO     | src.recommendation.knn_model | Đã tải mô hình KNN từ 'data/knn_model.pkl' (2 bài hát)
2026-04-12 13:54:30 | INFO     | src.recommendation.engine | get_similar_songs: target=6 top_k=5 results=[7]
2026-04-12 13:54:33 | INFO     | src.recommendation.knn_model | Đã tải mô hình KNN từ 'data/knn_model.pkl' (2 bài hát)
2026-04-12 13:54:33 | INFO     | src.recommendation.engine | get_similar_songs: target=7 top_k=5 results=[6]
2026-04-12 13:59:24 | INFO     | src.recommendation.knn_model | Đã tải mô hình KNN từ 'data/knn_model.pkl' (2 bài hát)
2026-04-12 13:59:24 | INFO     | src.recommendation.engine | get_similar_songs: target=7 top_k=5 results=[6]
2026-04-12 14:08:46 | INFO     | src.services.song_service | Bắt đầu trích xuất features cho song_id=8...
2026-04-12 14:08:46 | WARNING  | src.services.recommend_service | Bài hát 8 chưa được trích xuất đặc trưng.
2026-04-12 14:08:53 | INFO     | src.audio_processing.feature_extraction | Đã trích xuất MFCC cho 'd260d7ee-bf69-48f0-aa0f-20d1795ca5cf.mp3' trong 7.55s
